Page Name	Card Title	Card Type	Component Used	Location
CSM Portfolio Dashboard	GRR	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Portfolio Health	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	At-Risk ARR	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Renewal Rate	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Churn Rate	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Portfolio Average Utilization	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Feature Adoption Rate	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Customer Engagement Score	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	Time to Value (TTV)	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
CSM Portfolio Dashboard	QBR Completion Rate	KPI Tile	KPITile	src/components/CSM/CSMPortfolioDashboard.tsx
GRR Detail Page	Overall GRR	Summary Card	Custom Card	src/app/csm/kpi/grr/page.tsx
GRR Detail Page	Retained ARR	Summary Card	Custom Card	src/app/csm/kpi/grr/page.tsx
GRR Detail Page	Churned ARR	Summary Card	Custom Card	src/app/csm/kpi/grr/page.tsx
GRR Detail Page	Contracted ARR	Summary Card	Custom Card	src/app/csm/kpi/grr/page.tsx
At-Risk ARR Detail Page	Total At-Risk ARR	Summary Card	Custom Card	src/app/csm/kpi/at-risk-arr/page.tsx
At-Risk ARR Detail Page	At-Risk Accounts	Summary Card	Custom Card	src/app/csm/kpi/at-risk-arr/page.tsx
At-Risk ARR Detail Page	Critical Accounts	Summary Card	Custom Card	src/app/csm/kpi/at-risk-arr/page.tsx
At-Risk ARR Detail Page	Avg Risk Level	Summary Card	Custom Card	src/app/csm/kpi/at-risk-arr/page.tsx
Portfolio Health Detail Page	Main Health Score	Health Score Card	Custom Card	src/app/csm/kpi/portfolio-health/page.tsx
Portfolio Health Detail Page	Usage Health Component	Component Card	Custom Card	src/app/csm/kpi/portfolio-health/page.tsx
Portfolio Health Detail Page	Engagement Health Component	Component Card	Custom Card	src/app/csm/kpi/portfolio-health/page.tsx
Portfolio Health Detail Page	Support Health Component	Component Card	Custom Card	src/app/csm/kpi/portfolio-health/page.tsx
Portfolio Health Detail Page	Business Outcome Component	Component Card	Custom Card	src/app/csm/kpi/portfolio-health/page.tsx
Portfolio Utilization Detail Page	Total Licensed Seats	KPI Card	TotalLicensedSeatsKPI	src/app/csm/kpi/portfolio-utilization/page.tsx
Portfolio Utilization Detail Page	Active Users	KPI Card	ActiveUsersKPI	src/app/csm/kpi/portfolio-utilization/page.tsx
Portfolio Utilization Detail Page	Seat Waste	KPI Card	SeatWasteKPI	src/app/csm/kpi/portfolio-utilization/page.tsx
Portfolio Utilization Detail Page	Feature Adoption Velocity	KPI Card	FeatureAdoptionKPI	src/app/csm/kpi/portfolio-utilization/page.tsx
