Page	Element Type	Element Name/Description	Has Drill-Down	Product Owner Correction - Should have Drill - Down?	QA Test Pass or Fail?	Drill-Down Destination	Notes
/csm/health	Header	"Page Title ""Portfolio Health & Risk Overview"""	No			N/A	Static text
/csm/health	Header	Last Updated Timestamp	No			N/A	Static text
/csm/health	Button	Refresh Button	No			N/A	Refreshes data only
/csm/health	Button	Export Button	No			N/A	Export functionality (not implemented)
/csm/health	Button	Filters Button	No			N/A	Filter UI (not implemented)
/csm/health	KPI Card	Portfolio Health Score	Yes	Yes		Account list filtered by health score	Via KPICard component
/csm/health	KPI Card	Total Accounts	Yes	Yes		Account list	Via KPICard component
/csm/health	KPI Card	Total ARR	Yes	Yes		Account list sorted by ARR	Via KPICard component
/csm/health	KPI Card	At-Risk ARR	Yes	Yes		/account/CUST_000001	Hardcoded to first high-risk account
/csm/health	KPI Card	Renewal Pipeline	Yes	Yes		/account/CUST_000001	Hardcoded to first renewal account
/csm/health	KPI Card	Expansion Opportunities	Yes	Yes		/account/CUST_000001	Hardcoded to first expansion account
/csm/health	Chart	Health Distribution Pie Chart	Yes			Dashboard filtered by health category	Click pie segments
/csm/health	Chart	Health Distribution Center Text	No			N/A	Portfolio health score display
/csm/health	Chart	Health Distribution Legend	Yes			Dashboard filtered by health category	Click legend items
/csm/health	Chart	Risk/Opportunity Matrix Scatter Plot	Yes			/account/[accountId]	Click bubbles to navigate
/csm/health	Chart	Risk/Opportunity Matrix Quadrant Labels	No			N/A	Static labels
/csm/health	Chart	Risk/Opportunity Matrix Legend	No			N/A	Color legend
/csm/health	Card	Action Priority Queue	No			N/A	Placeholder content
/csm/usage	Header	"Page Title ""Usage & Adoption Analytics"""	No			N/A	Static text
/csm/usage	Header	Last Updated Timestamp	No			N/A	Static text
/csm/usage	Header	Account Count Display	No			N/A	Static text
/csm/usage	Button	Refresh Button	No			N/A	Refreshes data only
/csm/usage	Button	Export Button	No			N/A	Export functionality (not implemented)
/csm/usage	Button	Filters Button	No			N/A	Filter UI (not implemented)
/csm/usage	Chart	Product Adoption Trends Line Chart	No			N/A	"Visual only, no click handlers on lines"
/csm/usage	Button	Product Adoption Time Range Buttons (30d/90d/6m)	No			N/A	Changes time range only
/csm/usage	Card	Product Metric Cards (Meraki/Duo/Umbrella/etc)	Yes			Dashboard filtered by product	Click to toggle + filter
/csm/usage	Chart	Feature Usage Heatmap Grid	Yes			/account/[accountId]	Click cells to navigate to account
/csm/usage	Button	Feature Heatmap Product Selector	No			N/A	Changes heatmap product only
/csm/usage	Chart	License Utilization Charts	Yes			/account/[accountId]	Click utilization categories
/csm/usage	Button	License Utilization View Toggle	No			N/A	Changes view type only
/csm/usage	Card	Usage Anomaly Cards	Yes			/account/[accountId]	Click anomalies to navigate
/csm/usage	Text	Usage Anomaly Descriptions	Yes			/account/[accountId]	Part of clickable card
/csm/usage	Badge	Usage Anomaly Severity Badges	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Header	"Page Title ""Renewal Management"""	No			N/A	Static text
/csm/renewals	Header	Last Updated + Contract Count	No			N/A	Static text
/csm/renewals	Button	Time Frame Buttons (30/60/90/all days)	No			N/A	Filters renewal list only
/csm/renewals	Button	Refresh Button	No			N/A	Refreshes data only
/csm/renewals	Button	Export Button	No			N/A	Export functionality (not implemented)
/csm/renewals	Button	Filters Button	No			N/A	Filter UI (not implemented)
/csm/renewals	KPI Card	Total Pipeline	No	Yes		N/A	Metric display only
/csm/renewals	KPI Card	At Risk	No	Yes		N/A	Metric display only
/csm/renewals	KPI Card	Avg Probability	No	Yes		N/A	Metric display only
/csm/renewals	KPI Card	Due 90 Days	No	Yes		N/A	Metric display only
/csm/renewals	KPI Card	Renewal Rate	No	Yes		N/A	Metric display only
/csm/renewals	KPI Card	Growth Rate	No	Yes		N/A	Metric display only
/csm/renewals	List Item	Renewal Contract Cards	Yes			/account/[accountId]	Double-click to navigate
/csm/renewals	Text	Account Names in Renewal List	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Badge	Risk Level Badges	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Text	Tier and CSM Information	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Text	ARR Values	Yes			/account/[accountId]	Part of clickable card
/csv/renewals	Text	Days to Renewal	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Text	Renewal Probability	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Text	Health Score	Yes			/account/[accountId]	Part of clickable card
/csm/renewals	Card	Selected Contract Details	No	Yes		N/A	Display only
/csm/renewals	Badge	Contract Type Badges	No			N/A	Display only
/csm/renewals	Badge	Product Badges	No			N/A	Display only
/csm/renewals	Badge	Stakeholder Badges	No			N/A	Display only
/csm/renewals	Progress Bar	Renewal Progress Bar	No			N/A	Visual indicator only
/csm/renewals	Text	Predicted Outcome Values	No	Yes		N/A	Display only
/csm/renewals	List	Risk Factors List	No			N/A	Display only
/csm/renewals	List	Opportunities List	No			N/A	Display only
/csm/expansion	Header	"Page Title ""Expansion Opportunities"""	No			N/A	Static text
/csm/expansion	Header	Last Updated + Opportunity Count	No			N/A	Static text
/csm/expansion	Button	Refresh Button	No			N/A	Refreshes data only
/csm/expansion	Button	Export Button	No			N/A	Export functionality (not implemented)
/csm/expansion	Button	Filters Button	No			N/A	Filter UI (not implemented)
/csm/expansion	KPI Card	Total Pipeline	No	Yes		N/A	Metric display only
/csm/expansion	KPI Card	High Priority	No	Yes		N/A	Metric display only
/csm/expansion	KPI Card	Avg Score	No	Yes		N/A	Metric display only
/csm/expansion	KPI Card	Ready Accounts	No	Yes		N/A	Metric display only
/csm/expansion	List Item	Expansion Opportunity Cards	Yes			/account/[accountId]	Double-click to navigate
/csm/expansion	Text	Account Names in Opportunity List	Yes			/account/[accountId]	Part of clickable card
/csm/expansion	Badge	Priority Badges	Yes			/account/[accountId]	Part of clickable card
/csm/expansion	Text	Current and Potential ARR	Yes			/account/[accountId]	Part of clickable card
/csm/expansion	Text	Expansion Score	Yes			/account/[accountId]	Part of clickable card
/csm/expansion	Progress Bar	Readiness Factors	No			N/A	Visual indicator only
/csm/expansion	Badge	Product Badges	No			N/A	Display only
/csm/expansion	Text	Timeline Information	No	Yes		N/A	Display only
/csm/expansion	List	Risk Factors	No			N/A	Display only
/csm/expansion	List	Next Actions	No			N/A	Display only
/csm/expansion	Table	White Space Analysis	No			N/A	Table display only
/csm/relationships	Header	"Page Title ""Stakeholder Relationships"""	No			N/A	Static text
/csm/relationships	Header	Last Updated + Account Count	No			N/A	Static text
/csm/relationships	Button	Refresh Button	No			N/A	Refreshes data only
/csm/relationships	Button	Export Button	No			N/A	Export functionality (not implemented)
/csm/relationships	Button	Filters Button	No			N/A	Filter UI (not implemented)
/csm/relationships	KPI Card	Avg Relationship Strength	No	Yes		N/A	Metric display only
/csm/relationships	KPI Card	Total Contacts	No	Yes		N/A	Metric display only
/csm/relationships	KPI Card	Active Contacts	No	Yes		N/A	Metric display only
/csm/relationships	KPI Card	Champions	No	Yes		N/A	Metric display only
/csm/relationships	List Item	Relationship Account Cards	Yes			/account/[accountId]	Double-click to navigate
/csm/relationships	Text	Account Names in Relationship List	Yes			/account/[accountId]	Part of clickable card
/csm/relationships	Badge	Tier Badges	Yes			/account/[accountId]	Part of clickable card
/csm/relationships	Text	CSM Information	Yes			/account/[accountId]	Part of clickable card
/csm/relationships	Text	Health and Relationship Scores	Yes			/account/[accountId]	Part of clickable card
/csm/relationships	Progress Bar	Relationship Strength Bar	No			N/A	Visual indicator only
/csm/relationships	Text	Contact Metrics	No	Yes		N/A	Display only
/csm/relationships	List	Stakeholder Contact Cards	No			N/A	Display only
/csm/relationships	Badge	Contact Role Badges	No			N/A	Display only
/csm/relationships	Badge	Contact Status Badges	No			N/A	Display only
/csm/relationships	Text	Contact Information	No	Yes		N/A	Display only
/csm/journey	Header	"Page Title ""Customer Journey Tracking"""	No			N/A	Static text
/csm/journey	Header	Last Updated + Journey Count	No			N/A	Static text
/csm/journey	Button	Refresh Button	No			N/A	Refreshes data only
/csm/journey	Button	Export Button	No			N/A	Export functionality (not implemented)
/csm/journey	Button	Filters Button	No			N/A	Filter UI (not implemented)
/csm/journey	KPI Card	Avg Journey Progress	No	Yes		N/A	Metric display only
/csm/journey	KPI Card	Active Journeys	No	Yes		N/A	Metric display only
/csm/journey	KPI Card	Completed Milestones	No	Yes		N/A	Metric display only
/csm/journey	KPI Card	At Risk Journeys	No	Yes		N/A	Metric display only
/csm/journey	List Item	Journey Account Cards	Yes			/account/[accountId]	Double-click to navigate
/csm/journey	Text	Account Names in Journey List	Yes			/account/[accountId]	Part of clickable card
/csm/journey	Badge	Journey Phase Badges	Yes			/account/[accountId]	Part of clickable card
/csm/journey	Text	CSM and Tier Information	Yes			/account/[accountId]	Part of clickable card
