CUSTOMER_ID,COMPANY_NAME,CURRENT_ARR,CURRENT_PRODUCT_COUNT,POTENTIAL_PRODUCT_COUNT,TOTAL_POTENTIAL_ARR,TOTAL_EXPECTED_POTENTIAL_ARR,TOP_5_SIMILAR_COMPANIES,AVG_SIMILARITY_SCORE,POTENTIAL_PRODUCTS,TOP_PRODUCT_RECOMMENDATION,TOP_PRODUCT_EXPECTED_ARR
CUST_000014,"Ondricka, Waters and Wilderman",1211950,2,3,906579,721535,"Swaniawski Inc, Cyber Systems, Schultz - Collins, Harber LLC, White, Boehm and Hilpert",78.6,"[{""PRODUCT_ID"": ""PROD_UMBRELLA"", ""PRODUCT_NAME"": ""Umbrella"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 361494.4782608695, ""EXPECTED_ARR"": 307270.30652173905, ""PURCHASE_PROBABILITY"": 85.0, ""MAX_SIMILARITY_SCORE"": 85, ""ESTIMATED_LICENSES"": 50, ""PRICE_PER_LICENSE"": 7229.889565217391, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Swaniawski Inc, Cyber Systems, White, Boehm and Hilpert""}, {""PRODUCT_ID"": ""PROD_THOUSAND_EYES"", ""PRODUCT_NAME"": ""ThousandEyes"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 297000.07200000004, ""EXPECTED_ARR"": 225720.05472000004, ""PURCHASE_PROBABILITY"": 76.0, ""MAX_SIMILARITY_SCORE"": 76, ""ESTIMATED_LICENSES"": 72, ""PRICE_PER_LICENSE"": 4125.001, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Harber LLC""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 248084.82, ""EXPECTED_ARR"": 188544.4632, ""PURCHASE_PROBABILITY"": 76.0, ""MAX_SIMILARITY_SCORE"": 76, ""ESTIMATED_LICENSES"": 72, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""White, Boehm and Hilpert""}]",Umbrella,307270
CUST_000013,Clinical Associates,1601116,3,2,804507,635560,"Medical Systems, Harber LLC, Swaniawski Inc, Trust Holdings, Medical Group",75.8,"[{""PRODUCT_ID"": ""PROD_UMBRELLA"", ""PRODUCT_NAME"": ""Umbrella"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 477172.7113043478, ""EXPECTED_ARR"": 376966.4419304348, ""PURCHASE_PROBABILITY"": 79.0, ""MAX_SIMILARITY_SCORE"": 79, ""ESTIMATED_LICENSES"": 66, ""PRICE_PER_LICENSE"": 7229.889565217391, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Medical Systems, Swaniawski Inc""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 327334.1375, ""EXPECTED_ARR"": 258593.968625, ""PURCHASE_PROBABILITY"": 79.0, ""MAX_SIMILARITY_SCORE"": 79, ""ESTIMATED_LICENSES"": 95, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Medical Systems""}]",Umbrella,376966
CUST_000008,Swaniawski Inc,1456970,2,2,744338,598450,"Ondricka, Waters and Wilderman, Baumbach, Dietrich and Mueller, Medical Group, Cyber Systems, Clinical Associates",79.4,"[{""PRODUCT_ID"": ""PROD_DUO"", ""PRODUCT_NAME"": ""Duo"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 401963.17238095234, ""EXPECTED_ARR"": 341668.69652380946, ""PURCHASE_PROBABILITY"": 85.0, ""MAX_SIMILARITY_SCORE"": 85, ""ESTIMATED_LICENSES"": 58, ""PRICE_PER_LICENSE"": 6930.399523809523, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Ondricka, Waters and Wilderman, Baumbach, Dietrich and Mueller, Medical Group""}, {""PRODUCT_ID"": ""PROD_THOUSAND_EYES"", ""PRODUCT_NAME"": ""ThousandEyes"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 342375.08300000004, ""EXPECTED_ARR"": 256781.31225000002, ""PURCHASE_PROBABILITY"": 75.0, ""MAX_SIMILARITY_SCORE"": 75, ""ESTIMATED_LICENSES"": 83, ""PRICE_PER_LICENSE"": 4125.001, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Clinical Associates""}]",Duo,341669
CUST_000006,Harber LLC,747423,3,2,708766,538662,"Bode - Mayer, Clinical Associates, Wealth Group, Ondricka, Waters and Wilderman, Kris - Dibbert",76.8,"[{""PRODUCT_ID"": ""PROD_UMBRELLA"", ""PRODUCT_NAME"": ""Umbrella"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 419333.5947826087, ""EXPECTED_ARR"": 318693.5320347826, ""PURCHASE_PROBABILITY"": 76.0, ""MAX_SIMILARITY_SCORE"": 76, ""ESTIMATED_LICENSES"": 58, ""PRICE_PER_LICENSE"": 7229.889565217391, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Wealth Group, Kris - Dibbert""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 289432.29, ""EXPECTED_ARR"": 219968.5404, ""PURCHASE_PROBABILITY"": 76.0, ""MAX_SIMILARITY_SCORE"": 76, ""ESTIMATED_LICENSES"": 84, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Wealth Group""}]",Umbrella,318694
CUST_000010,Block - Toy,1797331,3,2,524514,388140,"Gutmann, King and Gorczany, White, Boehm and Hilpert, Swaniawski Inc, Clinical Associates, Investment Management",73.2,"[{""PRODUCT_ID"": ""PROD_UMBRELLA"", ""PRODUCT_NAME"": ""Umbrella"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 310885.25130434777, ""EXPECTED_ARR"": 230055.08596521735, ""PURCHASE_PROBABILITY"": 74.0, ""MAX_SIMILARITY_SCORE"": 74, ""ESTIMATED_LICENSES"": 43, ""PRICE_PER_LICENSE"": 7229.889565217391, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""White, Boehm and Hilpert, Swaniawski Inc, Investment Management""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 213628.595, ""EXPECTED_ARR"": 158085.1603, ""PURCHASE_PROBABILITY"": 74.0, ""MAX_SIMILARITY_SCORE"": 74, ""ESTIMATED_LICENSES"": 62, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""White, Boehm and Hilpert""}]",Umbrella,230055
CUST_000009,Quality Corporation,1004742,3,2,469379,360549,"Advanced Manufacturing Co, Global Financial Partners, Medical Alliance, Cloud Solutions, Capital Management",76.0,"[{""PRODUCT_ID"": ""PROD_THOUSAND_EYES"", ""PRODUCT_NAME"": ""ThousandEyes"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 255750.062, ""EXPECTED_ARR"": 204600.04960000003, ""PURCHASE_PROBABILITY"": 80.0, ""MAX_SIMILARITY_SCORE"": 80, ""ESTIMATED_LICENSES"": 62, ""PRICE_PER_LICENSE"": 4125.001, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Global Financial Partners, Capital Management""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 213628.595, ""EXPECTED_ARR"": 155948.87435, ""PURCHASE_PROBABILITY"": 73.0, ""MAX_SIMILARITY_SCORE"": 73, ""ESTIMATED_LICENSES"": 62, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Cloud Solutions""}]",ThousandEyes,204600
CUST_000011,Cyber Systems,1209071,2,2,447368,354650,"Data Innovations, Ondricka, Waters and Wilderman, Investment Management, Swaniawski Inc, InnovateTech Solutions",78.6,"[{""PRODUCT_ID"": ""PROD_MERAKI"", ""PRODUCT_NAME"": ""Meraki"", ""PRODUCT_CATEGORY"": ""Networking"", ""POTENTIAL_ARR"": 254413.63393939394, ""EXPECTED_ARR"": 206075.0434909091, ""PURCHASE_PROBABILITY"": 81.0, ""MAX_SIMILARITY_SCORE"": 81, ""ESTIMATED_LICENSES"": 56, ""PRICE_PER_LICENSE"": 4543.100606060606, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Data Innovations, Ondricka, Waters and Wilderman, Swaniawski Inc""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 192954.86, ""EXPECTED_ARR"": 148575.24219999998, ""PURCHASE_PROBABILITY"": 77.0, ""MAX_SIMILARITY_SCORE"": 77, ""ESTIMATED_LICENSES"": 56, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""InnovateTech Solutions""}]",Meraki,206075
CUST_000003,Global Financial Partners,804011,3,2,428773,335989,"Capital Management, Quality Corporation, Advanced Manufacturing Co, Wealth Group, Trust Holdings",77.8,"[{""PRODUCT_ID"": ""PROD_UMBRELLA"", ""PRODUCT_NAME"": ""Umbrella"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 253046.13478260866, ""EXPECTED_ARR"": 202436.90782608694, ""PURCHASE_PROBABILITY"": 80.0, ""MAX_SIMILARITY_SCORE"": 80, ""ESTIMATED_LICENSES"": 35, ""PRICE_PER_LICENSE"": 7229.889565217391, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Quality Corporation, Advanced Manufacturing Co, Wealth Group""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 175726.7475, ""EXPECTED_ARR"": 133552.3281, ""PURCHASE_PROBABILITY"": 76.0, ""MAX_SIMILARITY_SCORE"": 76, ""ESTIMATED_LICENSES"": 51, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Wealth Group""}]",Umbrella,202437
CUST_000012,Medical Group,536311,2,2,428773,328187,"Swaniawski Inc, Hansen LLC, Ondricka, Waters and Wilderman, Data Innovations, Medical Systems",74.6,"[{""PRODUCT_ID"": ""PROD_UMBRELLA"", ""PRODUCT_NAME"": ""Umbrella"", ""PRODUCT_CATEGORY"": ""Security"", ""POTENTIAL_ARR"": 253046.13478260866, ""EXPECTED_ARR"": 199906.44647826086, ""PURCHASE_PROBABILITY"": 79.0, ""MAX_SIMILARITY_SCORE"": 79, ""ESTIMATED_LICENSES"": 35, ""PRICE_PER_LICENSE"": 7229.889565217391, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Swaniawski Inc, Medical Systems""}, {""PRODUCT_ID"": ""PROD_SPLUNK"", ""PRODUCT_NAME"": ""Splunk"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 175726.7475, ""EXPECTED_ARR"": 128280.525675, ""PURCHASE_PROBABILITY"": 73.0, ""MAX_SIMILARITY_SCORE"": 73, ""ESTIMATED_LICENSES"": 51, ""PRICE_PER_LICENSE"": 3445.6225, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Medical Systems""}]",Umbrella,199906
CUST_000029,Medical Systems,215678,3,2,416069,328694,"Cloud Solutions, Wealth Group, Capital Management, Clinical Associates, Trust Holdings",81.2,"[{""PRODUCT_ID"": ""PROD_MERAKI"", ""PRODUCT_NAME"": ""Meraki"", ""PRODUCT_CATEGORY"": ""Networking"", ""POTENTIAL_ARR"": 218068.8290909091, ""EXPECTED_ARR"": 172274.3749818182, ""PURCHASE_PROBABILITY"": 79.0, ""MAX_SIMILARITY_SCORE"": 79, ""ESTIMATED_LICENSES"": 48, ""PRICE_PER_LICENSE"": 4543.100606060606, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Capital Management, Clinical Associates, Trust Holdings""}, {""PRODUCT_ID"": ""PROD_THOUSAND_EYES"", ""PRODUCT_NAME"": ""ThousandEyes"", ""PRODUCT_CATEGORY"": ""Analytics"", ""POTENTIAL_ARR"": 198000.048, ""EXPECTED_ARR"": 156420.03792, ""PURCHASE_PROBABILITY"": 79.0, ""MAX_SIMILARITY_SCORE"": 79, ""ESTIMATED_LICENSES"": 48, ""PRICE_PER_LICENSE"": 4125.001, ""SIMILAR_COMPANIES_WITH_PRODUCT"": ""Capital Management, Clinical Associates, Trust Holdings""}]",Meraki,172274
